axis,key,label,count,status,notice
"equipment","adjustable_bench","Banco regulável","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","flat_bench","Banco plano","38","okWithResults","Eixo coberto por exercicios."
"equipment","incline_bench","Banco inclinado","3","okWithResults","Eixo coberto por exercicios."
"equipment","decline_bench","Banco declinado","2","okWithResults","Eixo coberto por exercicios."
"equipment","treadmill","Passadeira","24","okWithResults","Eixo coberto por exercicios."
"equipment","bike","Bicicleta","15","okWithResults","Eixo coberto por exercicios."
"equipment","elliptical","Elíptica","10","okWithResults","Eixo coberto por exercicios."
"equipment","rower","Remo ergómetro","4","okWithResults","Eixo coberto por exercicios."
"equipment","stepper","Stepper / escadas","2","okWithResults","Eixo coberto por exercicios."
"equipment","air_bike","Air bike","5","okWithResults","Eixo coberto por exercicios."
"equipment","outdoor_space","Espaço exterior para caminhar/correr","10","okWithResults","Eixo coberto por exercicios."
"equipment","tatami","Tatami / espaço de artes marciais","55","okWithResults","Eixo coberto por exercicios."
"equipment","heavy_bag","Saco de pancada","23","okWithResults","Eixo coberto por exercicios."
"equipment","gloves","Luvas","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","shin_guards","Caneleiras","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","pads","Paos / aparadores","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","gi","Kimono","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","belt","Cinto / faixa","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","grappling_dummy","Boneco de grappling","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","grip_trainer","Grip trainer","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","foam_roller","Foam roller","13","okWithResults","Eixo coberto por exercicios."
"equipment","massage_ball","Bola de massagem","9","okWithResults","Eixo coberto por exercicios."
"equipment","mobility_band","Elástico de mobilidade","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","yoga_block","Bloco de yoga","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","mobility_roller","Rolo de mobilidade","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","massage_gun","Pistola de massagem","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"muscle","cervical_stabilizers","cervical stabilizers","5","okWithResults","Eixo coberto por exercicios."
"muscle","anterior_neck","anterior neck","2","okWithResults","Eixo coberto por exercicios."
"muscle","lateral_neck","lateral neck","2","okWithResults","Eixo coberto por exercicios."
"muscle","posterior_neck","posterior neck","3","okWithResults","Eixo coberto por exercicios."
"muscle","upper_traps","upper traps","4","okWithResults","Eixo coberto por exercicios."
"muscle","mid_traps","mid traps","16","okWithResults","Eixo coberto por exercicios."
"muscle","lateral_deltoid","lateral deltoid","8","okWithResults","Eixo coberto por exercicios."
"muscle","lower_traps","lower traps","5","okWithResults","Eixo coberto por exercicios."
"muscle","rhomboids","rhomboids","16","okWithResults","Eixo coberto por exercicios."
"muscle","posterior_deltoid","posterior deltoid","7","okWithResults","Eixo coberto por exercicios."
"muscle","anterior_deltoid","anterior deltoid","6","okWithResults","Eixo coberto por exercicios."
"muscle","deltoid_lateral","deltoid lateral","6","okWithResults","Eixo coberto por exercicios."
"muscle","scapular_stabilizers","scapular stabilizers","17","okWithResults","Eixo coberto por exercicios."
"muscle","teres_minor","teres minor","15","okWithResults","Eixo coberto por exercicios."
"muscle","external_rotators","external rotators","5","okWithResults","Eixo coberto por exercicios."
"muscle","serratus_anterior","serratus anterior","12","okWithResults","Eixo coberto por exercicios."
"muscle","internal_rotators","internal rotators","2","okWithResults","Eixo coberto por exercicios."
"muscle","upper_chest","upper chest","15","okWithResults","Eixo coberto por exercicios."
"muscle","mid_chest","mid chest","15","okWithResults","Eixo coberto por exercicios."
"muscle","lower_chest","lower chest","19","okWithResults","Eixo coberto por exercicios."
"muscle","pectoralis_minor","pectoralis minor","23","okWithResults","Eixo coberto por exercicios."
"muscle","lats","lats","18","okWithResults","Eixo coberto por exercicios."
"muscle","teres_major","teres major","19","okWithResults","Eixo coberto por exercicios."
"muscle","vertical_pulls","vertical pulls","6","okWithResults","Eixo coberto por exercicios."
"muscle","horizontal_rows","horizontal rows","7","okWithResults","Eixo coberto por exercicios."
"muscle","erectors","erectors","11","okWithResults","Eixo coberto por exercicios."
"muscle","quadratus_lumborum","quadratus lumborum","8","okWithResults","Eixo coberto por exercicios."
"muscle","biceps","biceps","15","okWithResults","Eixo coberto por exercicios."
"muscle","brachialis","brachialis","17","okWithResults","Eixo coberto por exercicios."
"muscle","brachioradialis","brachioradialis","6","okWithResults","Eixo coberto por exercicios."
"muscle","triceps_lateral","triceps lateral","13","okWithResults","Eixo coberto por exercicios."
"muscle","triceps_medial","triceps medial","20","okWithResults","Eixo coberto por exercicios."
"muscle","triceps_long","triceps long","15","okWithResults","Eixo coberto por exercicios."
"muscle","forearm_flexors","forearm flexors","9","okWithResults","Eixo coberto por exercicios."
"muscle","wrist","wrist","10","okWithResults","Eixo coberto por exercicios."
"muscle","general_grip","general grip","19","okWithResults","Eixo coberto por exercicios."
"muscle","forearm_extensors","forearm extensors","3","okWithResults","Eixo coberto por exercicios."
"muscle","grip_support","grip support","7","okWithResults","Eixo coberto por exercicios."
"muscle","fingers","fingers","6","okWithResults","Eixo coberto por exercicios."
"muscle","pronators","pronators","1","okWithResults","Eixo coberto por exercicios."
"muscle","supinators","supinators","1","okWithResults","Eixo coberto por exercicios."
"muscle","pinch_grip","pinch grip","2","okWithResults","Eixo coberto por exercicios."
"muscle","anti_lateral_flexion","anti lateral flexion","3","okWithResults","Eixo coberto por exercicios."
"muscle","deep_stability","deep stability","11","okWithResults","Eixo coberto por exercicios."
"muscle","anti_extension","anti extension","4","okWithResults","Eixo coberto por exercicios."
"muscle","transverse_abdominis","transverse abdominis","11","okWithResults","Eixo coberto por exercicios."
"muscle","mid_abs","mid abs","5","okWithResults","Eixo coberto por exercicios."
"muscle","external_obliques","external obliques","5","okWithResults","Eixo coberto por exercicios."
"muscle","internal_obliques","internal obliques","5","okWithResults","Eixo coberto por exercicios."
"muscle","rectus_abdominis","rectus abdominis","9","okWithResults","Eixo coberto por exercicios."
"muscle","upper_abs","upper abs","4","okWithResults","Eixo coberto por exercicios."
"muscle","lower_abs","lower abs","3","okWithResults","Eixo coberto por exercicios."
"muscle","hip_flexors","hip flexors","14","okWithResults","Eixo coberto por exercicios."
"muscle","anti_rotation","anti rotation","4","okWithResults","Eixo coberto por exercicios."
"muscle","glute_max","glute max","29","okWithResults","Eixo coberto por exercicios."
"muscle","rectus_femoris","rectus femoris","21","okWithResults","Eixo coberto por exercicios."
"muscle","vastus_lateralis","vastus lateralis","19","okWithResults","Eixo coberto por exercicios."
"muscle","vastus_medialis","vastus medialis","20","okWithResults","Eixo coberto por exercicios."
"muscle","vastus_intermedius","vastus intermedius","19","okWithResults","Eixo coberto por exercicios."
"muscle","adductors","adductors","3","okWithResults","Eixo coberto por exercicios."
"muscle","glute_med","glute med","14","okWithResults","Eixo coberto por exercicios."
"muscle","biceps_femoris","biceps femoris","11","okWithResults","Eixo coberto por exercicios."
"muscle","semitendinosus","semitendinosus","7","okWithResults","Eixo coberto por exercicios."
